Linjenr,Løpenummer,Navn,Type,Hovedeier,Org_nr__hovedeier,Fylke,Fylkesnr_,Kommune,Kommunenr_,Dato_for_første_utnyttelse_av_fallet,Dato_for_eldste_kraftproduserende_del,Maks_ytelse_.MW.,Midl__årsproduksjon_.ref__1981.2010._.GWh.,Brutto_fallhøyde_.m.,Maksimal_slukeevne_.m3.s.,Energiekvivalent_.kWh.m3.,Elspotområde,Reginenr,Vannregion,Year_start,PZ
61,1703,Jorda,Kraftverk,JORDA_KRAFT_AS,998817374,Innlandet,34,Nord-Fron,36,07.07.2012,07.07.2012,2.55,7.5,335,0.9,0.787,1,002.DG1Z,2,2012,1
71,1716,Hanestadnea,Kraftverk,ØVERGAARD_ENERGI_AS,997893905,Innlandet,34,Rendalen,24,01.11.2012,01.11.2012,2.465,8.4,90.6,3.25,0.211,1,002.M2A0,2,2012,1
117,1693,Syversætre_Foss,Kraftverk,SYVERSÆTRE_FOSS_KRAFTVERK_AS,995673479,Innlandet,34,Åsnes,18,17.04.2012,17.04.2012,2.5,10.5,7,46,0.015,1,002.GA1,2,2012,1
127,1858,Tronstad,Kraftverk,MYKLEBY_MASKIN_AS,950311916,Viken,30,Lier,49,18.10.2012,18.10.2012,1.26,6.5,106,1.4,0.25,1,011.B3,11,2012,1
132,1709,Lielva,Kraftverk,NITO_AS,988926930,Viken,30,Flå,39,25.09.2012,25.09.2012,1.15,3.5,1.85,0.77,0.415,5,012.CB5Z,12,2012,1
182,1730,Lauvlielva,Kraftverk,LAUVLIELVA_KRAFT_AS,893530312,Innlandet,34,Nordre_Land,48,27.03.2012,27.03.2012,1.25,3.3,153.5,0.9,0.386,1,012.EDB1Z,12,2012,1
246,1711,Odberg,Kraftverk,ODBERG_KRAFTLAG_SA,997278100,Vestfold_og_Telemark,38,Larvik,5,14.12.2012,14.12.2012,0.075,0.45,134.4,0.1,0.219,2,015.B4,15,2012,1
291,1670,Heiåi,Kraftverk,HEIKRAFT_AS,989243012,Vestfold_og_Telemark,38,Seljord,20,12.12.2012,12.12.2012,2.4,5,245,1.2,0.556,2,016.CD3A,16,2012,1
312,1726,Åmot,Kraftverk,LØVENSKIOLD-FOSSUM_KRAFT_AS,994200682,Vestfold_og_Telemark,38,Skien,7,19.12.2012,19.12.2012,2.2,8.8,170,1.7,0.359,2,016.ADB,16,2012,1
328,1673,Holdal,Kraftverk,HOLDALBEKK_KRAFT_AS,992945850,Vestfold_og_Telemark,38,Vinje,25,16.10.2012,16.10.2012,1.24,3.5,216.6,0.7,0.492,2,016.BED41,16,2012,1
383,1704,Grytåi,Kraftverk,SKAGERAK_KRAFT_AS,979563531,Vestfold_og_Telemark,38,Nissedal,22,25.06.2012,25.06.2012,0.856,2.45,117.42,0.87,0.273,2,019.F2D1,19,2012,1
385,1679,Nordbøåna,Kraftverk,NORDBØÅNA_KRAFT_AS,992143282,Vestfold_og_Telemark,38,Nissedal,22,20.05.2012,20.05.2012,1.6,4.2,193,1,0.45,2,019.F3,19,2012,1
480,1660,Nedre_Neset,Kraftverk,NESET_KRAFT_AS,991704817,Rogaland,11,Lund,12,08.05.2012,08.05.2012,2.56,7.8,117.8,2.55,0.279,2,026.BB,26,2012,1
574,1771,Haugsland,Kraftverk,NA,NA,Rogaland,11,Suldal,34,01.01.2012,01.01.2012,0.022,0.14,NA,NA,NA,2,035.7B2,35,2012,2
608,1646,Vasstøl,Kraftverk,LYSE_KRAFT_DA,925749419,Rogaland,11,Suldal,34,20.06.2012,20.06.2012,4.85,24,149,4,0.337,2,036.CC,36,2012,2
650,1455,Vågaåna,Kraftverk,SMÅKRAFT_AS,984616155,Rogaland,11,Vindafjord,60,22.12.2012,22.12.2012,3.3,9.8,422,0.98,0.935,2,038.21Z,38,2012,2
653,1705,Bordalsbekken,Kraftverk,SUNNHORDLAND_KRAFTLAG_AS,916435711,Rogaland,11,Tysvær,46,31.08.2012,31.08.2012,1.9,5.9,205.4,1.04,0.507,2,039.21Z,39,2012,2
785,1687,Bratthus,Kraftverk,BRATTHUS_KRAFTVERK_AS,996777502,Vestland,46,Bjørnafjorden,24,07.05.2012,07.05.2012,0.68,2.04,189.6,0.41,0.461,2,053.D3,53,2012,3
817,1695,Espeland,Kraftverk,BERGEN_KOMMUNE,964338531,Vestland,46,Bergen,1,08.05.2012,08.05.2012,0.965,5,149.8,0.777,0.345,5,061.2AA2,61,2012,4
818,1694,Osavatnet,Kraftverk,BERGEN_KOMMUNE,964338531,Vestland,46,Bergen,1,08.05.2012,08.05.2012,0.6,3.5,98.25,0.777,0.215,5,061.2AA4,61,2012,4
920,1563,Holsbru,Kraftverk,HYDRO_ENERGI_AS,930187240,Vestland,46,Årdal,43,28.03.2012,28.03.2012,48.9,84,687.8,8.8,1.544,5,074.CAZ,74,2012,4
971,1714,Makkoren,Kraftverk,STATKRAFT_ENERGI_AS,987059729,Vestland,46,Høyanger,38,23.11.2012,23.11.2012,4,17.8,93,4.9,0.227,3,079.BB2A,79,2012,4
974,1478,Sagelvi,Kraftverk,SMÅKRAFT_AS,984616155,Vestland,46,Sogndal,40,23.11.2012,23.11.2012,2.3,7.2,429,0.61,1.047,5,79.31,79,2012,4
981,1668,Strandos,Kraftverk,STRANDOS_KRAFT_AS,995358670,Vestland,46,Høyanger,38,27.03.2012,27.03.2012,1.93,6.2,205,2.1,0.255,3,080.4H,80,2012,4
1042,1661,Nedrebø,Kraftverk,NEDREBØ_KRAFTVERK_AS,995366843,Vestland,46,Sunnfjord,47,24.01.2012,24.01.2012,1.42,3.6,129.3,1.4,0.325,3,084.E2Z,84,2012,4
1060,1666,Hovland,Kraftverk,HOVLAND_KRAFT_AS,994550942,Vestland,46,Kinn,2,28.02.2012,28.02.2012,2.995,9.5,429,0.8,1.04,3,085.3Z,85,2012,4
1063,1589,Kvangreelva,Kraftverk,KVANGREELVA_KRAFTVERK_AS,993021180,Vestland,46,Kinn,2,29.03.2012,29.03.2012,0.48,3,NA,NA,NA,3,085.4E,85,2012,4
1141,1683,Torvikelva,Kraftverk,SMÅKRAFT_AS,984616155,Vestland,46,Stad,49,04.09.2012,04.09.2012,1.237,4.26,105.4,1.61,0.213,3,089.421Z,89,2012,4
1195,1565,Viddal,Kraftverk,TUSSA_ENERGI_AS,876795442,Møre_og_Romsdal,15,Volda,77,19.04.2012,19.04.2012,5.49,17,244,2.5,0.61,3,097.322Z,97,2012,5
1198,1567,Dalegjerdet,Kraftverk,TUSSA_ENERGI_AS,876795442,Møre_og_Romsdal,15,Ørsta,20,21.06.2012,21.06.2012,2.3,6,191.6,1.3,0.491,3,097.11Z,97,2012,5
1199,1566,Standal,Kraftverk,TUSSA_ENERGI_AS,876795442,Møre_og_Romsdal,15,Ørsta,20,16.05.2012,16.05.2012,5.49,17.1,258,3,0.508,3,097.11Z,97,2012,5
1202,1655,Embla,Kraftverk,EMBLA_KRAFT_AS,994230905,Møre_og_Romsdal,15,Stranda,25,15.08.2012,15.08.2012,4.9,16.5,411.65,1.5,0.907,3,098.3C,98,2012,5
1234,1715,Misfjord,Kraftverk,MISFJORD_KRAFT_AS,997426193,Møre_og_Romsdal,15,Vestnes,35,21.11.2012,21.11.2012,1.4,4,248,0.67,0.58,3,102.51,102,2012,5
1237,1713,Øvstedal,Kraftverk,ØVSTEDAL_KRAFT_AS,993900486,Møre_og_Romsdal,15,Vestnes,35,08.11.2012,08.11.2012,1.235,4.3,301,0.5,0.686,3,102.6Z,102,2012,5
1256,1582,Dokkelva,Kraftverk,SMÅKRAFT_AS,984616155,Møre_og_Romsdal,15,Molde,6,29.03.2012,29.03.2012,5.49,18.6,143,4.8,0.318,3,104.3Z,104,2012,5
1260,1583,Kanndalen,Kraftverk,SMÅKRAFT_AS,984616155,Møre_og_Romsdal,15,Molde,6,18.01.2012,18.01.2012,5.49,20.5,261,2.85,0.535,3,104.3Z,104,2012,5
1313,1669,Grytdalen,Kraftverk,SVORKA_ENERGI_AS,919763159,Trøndelag,50,Heim,55,02.03.2012,02.03.2012,1.3,5.47,NA,NA,NA,3,113.41B,113,2012,6
1358,1692,Herjåa,Kraftverk,HERJÅA_KRAFT_AS,996068935,Trøndelag,50,Midtre_Gauldal,27,17.07.2012,17.07.2012,0.328,1.5,53,0.725,0.118,3,122.E1Z,122,2012,6
1452,1712,Vollabekken,Kraftverk,VOLLAKRAFT_AS,996018512,Trøndelag,50,Indre_Fosen,54,28.03.2012,28.03.2012,1,2.9,198,0.6,0.463,3,132.C,132,2012,6
1462,1667,Øverdal,Kraftverk,ØVERDAL_KRAFTVERK_AS,996101630,Trøndelag,50,Åfjord,58,10.12.2012,10.12.2012,0.5,3,181.75,0.342,0.406,3,136.AZ,136,2012,6
1500,1753,Hongset_Røye,Kraftverk,HAGEN_ODD,969227061,Nordland,18,Brønnøy,13,20.06.2012,20.06.2012,0.025,0.215,57,0.08,0.087,4,148.2Z,148,2012,8
1502,1609,Svartvatn,Kraftverk,HELGELAND_KRAFT_VANNKRAFT_AS,917424896,Nordland,18,Brønnøy,13,27.11.2012,27.11.2012,1.79,5.5,53,4,0.124,4,148.31A3,148,2012,8
1505,1608,Laksen,Kraftverk,HELGELAND_KRAFT_VANNKRAFT_AS,917424896,Nordland,18,Vefsn,24,09.01.2012,09.01.2012,4.949,22.4,78.7,7,0.196,4,149.5C,149,2012,8
1512,1508,Urdsdalselva,Kraftverk,SMÅKRAFT_AS,984616155,Nordland,18,Vefsn,24,15.05.2012,15.05.2012,2.8,8.4,193,1.9,0.409,4,152.3,152,2012,8
1557,1671,Ørtvatn,Kraftverk,MIP_MILJØKRAFT_AS,819150842,Nordland,18,Rana,33,15.06.2012,15.06.2012,4.27,11,54,9,0.132,4,156.D20,156,2012,8
1596,1587,Saksenvik,Kraftverk,SAKSENVIK_KRAFT_AS,980411060,Nordland,18,Saltdal,40,22.05.2012,22.05.2012,2.5,6.7,38.7,7.2,0.093,4,163.5Z,163,2012,8
1634,1684,Skarelva,Kraftverk,SMÅKRAFT_AS,984616155,Nordland,18,Narvik,6,14.09.2012,14.09.2012,5,12,437,1.35,1.029,4,173.6A,173,2012,9
1680,1620,Dittielva,Kraftverk,NORDIC_POWER_AS,914341183,Troms_og_Finnmark_Romsa_ja_Finnmárku,54,Bardu,16,06.11.2012,06.11.2012,5.6,9.85,283.5,2.46,0.632,4,196.AC5Z,196,2012,10
1682,1580,Krogstadelva,Kraftverk,NORDIC_POWER_AS,914341183,Troms_og_Finnmark_Romsa_ja_Finnmárku,54,Bardu,16,15.10.2012,15.10.2012,4.7,10.8,208.5,3.08,0.424,4,196.AB2Z,196,2012,10
1691,1623,Saltdalelva,Kraftverk,NORDIC_POWER_AS,914341183,Troms_og_Finnmark_Romsa_ja_Finnmárku,54,Tromsø,1,15.10.2012,15.10.2012,5,16.1,214.53,2.85,0.487,4,198.72,198,2012,11
1695,1622,Ellenelva,Kraftverk,NORDIC_POWER_AS,914341183,Troms_og_Finnmark_Romsa_ja_Finnmárku,54,Tromsø,1,29.08.2012,29.08.2012,4.8,13.2,176,3.3,0.404,4,203.A0,203,2012,11
1701,1665,Bentsjord,Kraftverk,BENTSJORD_KRAFT_AS,990536511,Troms_og_Finnmark_Romsa_ja_Finnmárku,54,Storfjord-Omasvuotna-Omasvuono,25,22.06.2012,22.06.2012,2.66,6.7,419,0.727,1.016,4,204.92,204,2012,11
1704,1621,Mortensdalelva,Kraftverk,NORDIC_POWER_AS,914341183,Troms_og_Finnmark_Romsa_ja_Finnmárku,54,Storfjord-Omasvuotna-Omasvuono,25,15.06.2012,15.06.2012,2.1,5.5,295,0.92,0.634,4,204.AZ,204,2012,11
119,1610,Skjelfoss,Kraftverk,SKJELFOSS_ENERGI_AS,991938168,Viken,30,Indre_Østfold,14,04.04.2011,04.04.2011,0.25,1.1,6.6,5,0.014,1,003.C0,3,2011,1
149,1629,Vikaåne,Kraftverk,VIKAÅNE_KRAFTVERK_AS,991936521,Viken,30,Hol,44,30.11.2011,30.11.2011,1.25,4.7,82.5,2,0.174,5,012.CJ1A,12,2011,1
168,1469,Finnesetbekken,Kraftverk,FINNESETBEKKEN_KRAFTVERK_AS,993351326,Viken,30,Nesbyen,40,27.04.2011,27.04.2011,1.428,3.49,299.1,0.54,0.735,5,012.CC5,12,2011,1
247,1502,Deveggåe,Kraftverk,DEVEGGÅE_KRAFT_AS,993395471,Viken,30,Nore_og_Uvdal,52,15.04.2011,15.04.2011,2.997,8.25,NA,NA,NA,5,015.JB60,15,2011,1
273,1644,Tuddal,Kraftverk,TUDDAL_KRAFT_AS,996205126,Vestfold_og_Telemark,38,Hjartdal,19,19.10.2011,19.10.2011,1.599,4.5,248,NA,NA,2,016.EAC10,16,2011,1
365,1607,Momrak,Kraftverk,MOMRAK_KRAFTLAG_AS,992803118,Vestfold_og_Telemark,38,Fyresdal,23,30.06.2011,30.06.2011,1,4,194,0.6,0.462,2,019.DB1,19,2011,1
422,1615,Lindåna,Kraftverk,LINDÅNA_KRAFT_AS,995081571,Agder,42,Evje_og_Hornnes,19,09.03.2011,09.03.2011,1.45,4.3,135,1.35,NA,2,021.B62,21,2011,1
431,1581,Kveaså,Kraftverk,SMÅKRAFT_AS,984616155,Agder,42,Valle,21,01.11.2011,01.11.2011,5.4,12.8,369,1.7,0.882,2,021.F3,21,2011,1
503,1557,Tjørn_I,Kraftverk,KNUT_ESPENES,969797445,Rogaland,11,Sokndal,11,08.01.2011,08.01.2011,0.155,0.8,89,0.185,0.233,2,026.4BC0,26,2011,1
504,1737,Tjørn_II,Kraftverk,KNUT_ESPENES,969797445,Rogaland,11,Sokndal,11,08.01.2011,08.01.2011,0.045,0.25,90,0.065,0.192,2,026.4BC0,26,2011,1
652,1626,Bjelland_II,Kraftverk,BJELLAND_&_MUSLAND_KRAFT_AS,892065152,Rogaland,11,Tysvær,46,02.11.2011,02.11.2011,0.71,2.6,165,0.61,0.323,2,39.12,39,2011,2
670,1633,Vik,Kraftverk,VIK_KRAFT_AS,890687482,Rogaland,11,Vindafjord,60,02.02.2011,02.02.2011,1.52,5,158,1.2,0.352,2,041.22Z,41,2011,3
677,1612,Saltåno,Kraftverk,SALTÅNO_KRAFT_AS,990765359,Vestland,46,Etne,11,05.04.2011,05.04.2011,0.25,1,92,0.3,0.231,2,042.32Z,42,2011,3
712,1529,Oksarelva,Kraftverk,OKSARELVA_KRAFT_AS,994170821,Vestland,46,Kvinnherad,17,19.05.2011,19.05.2011,1.2,4.28,320,0.434,0.768,2,45.31,45,2011,3
719,1637,Fossabekken,Kraftverk,GJERDE_JAKOB,969353679,Vestland,46,Kvinnherad,17,28.12.2011,28.12.2011,0.45,1.7,262,0.19,0.658,5,46.32,46,2011,3
726,1658,Tveitelva,Kraftverk,TVEITELVA_KRAFTVERK_AS,991230580,Vestland,46,Kvinnherad,17,11.07.2011,11.07.2011,3.3,11.4,233.3,1.8,0.521,5,046.421A,46,2011,3
741,1643,Grimo,Kraftverk,GRIMOKRAFT_AS,992185228,Vestland,46,Ullensvang,18,21.03.2011,21.03.2011,0.99,3.6,362.6,0.314,0.876,5,48.1,48,2011,3
762,1647,Leiro,Kraftverk,STATKRAFT_ENERGI_AS,987059729,Vestland,46,Eidfjord,19,24.06.2011,24.06.2011,5,8.4,80,7,0.198,5,050.CA,50,2011,3
793,1591,Kvitelva,Kraftverk,PELTON_AS,918609881,Vestland,46,Kvam,22,26.05.2011,26.05.2011,0.45,2.25,212,0.25,0.866,2,53.42,53,2011,3
794,1634,Oma,Kraftverk,OMA_KRAFT_AS,994469630,Vestland,46,Kvam,22,04.11.2011,04.11.2011,1.4,5.08,163,1.1,0.354,5,53.22,53,2011,3
924,1542,Seimsdal,Kraftverk,SEIMSDAL_KRAFT_AS,988457434,Vestland,46,Årdal,43,19.05.2011,19.05.2011,6.5,18,290,2.1,0.669,5,074.4A,74,2011,4
975,1632,Thue,Kraftverk,"KNUT_U,_THUE",970322167,Vestland,46,Sogndal,40,15.09.2011,15.09.2011,0.075,0.15,95,0.12,0.174,5,79.21,79,2011,4
1031,1651,Grøvla,Kraftverk,GRØVLA_KRAFT_AS,995577496,Vestland,46,Sunnfjord,47,23.11.2011,23.11.2011,2.433,7,339,0.9,0.795,3,084.AZ,84,2011,4
1051,1584,Gjesdal,Kraftverk,GJESDAL_KRAFT_AS,995023660,Vestland,46,Sunnfjord,47,15.08.2011,15.08.2011,3.7,10.5,145,3,0.343,3,8.4E+01,84,2011,4
1052,1630,Åselva,Kraftverk,ÅSELVA_KRAFT_AS,994581708,Vestland,46,Sunnfjord,47,18.08.2011,18.08.2011,3.5,12,330,1.3,0.748,3,8.4E+04,84,2011,4
1091,1476,Tjøtaelva,Kraftverk,SMÅKRAFT_AS,984616155,Vestland,46,Gloppen,50,13.05.2011,13.05.2011,2.3,8.11,380,0.7,0.913,3,86.9,86,2011,4
1124,1642,Nydalselva,Kraftverk,NYDALSELVA_KRAFT_AS,893040412,Vestland,46,Sunnfjord,47,26.10.2011,26.10.2011,5.25,17.6,605,0.97,1.503,3,087.B13,87,2011,4
1137,1653,Jølåna,Kraftverk,JØLÅNA_KRAFT_AS,994276484,Vestland,46,Stad,49,10.11.2011,10.11.2011,1.68,4.5,294,0.67,0.697,3,89.14,89,2011,4
1157,1650,Tesra,Kraftverk,TESRA_KRAFT_SA,894349042,Møre_og_Romsdal,15,Vanylven,11,12.09.2011,12.09.2011,0.22,0.7,175,NA,NA,3,093.11Z,93,2011,5
1160,1453,Eidsetelva,Kraftverk,SMÅKRAFT_AS,984616155,Møre_og_Romsdal,15,Volda,77,07.09.2011,07.09.2011,1.8,6,390,0.55,0.909,3,94.212,94,2011,5
1209,1516,Langedalen,Kraftverk,TRYGGESTAD_KRAFT_AS,992530448,Møre_og_Romsdal,15,Stranda,25,03.05.2011,03.05.2011,5,21.1,80,7.9,0.176,3,098.5C,98,2011,5
1210,1517,Nibbedalen,Kraftverk,TRYGGESTAD_KRAFT_AS,992530448,Møre_og_Romsdal,15,Stranda,25,04.04.2011,04.04.2011,1.7,4.9,62,3,0.157,3,098.5BZ,98,2011,5
1211,1518,Ringdal,Kraftverk,RINGDAL_KRAFTVERK_AS,890064892,Møre_og_Romsdal,15,Stranda,25,16.04.2011,16.04.2011,5.85,17.2,151.735,4.7,0.346,3,098.5AZ,98,2011,5
1226,1616,Dyrkorn,Kraftverk,TAFJORD_KRAFTPRODUKSJON_AS,977461898,Møre_og_Romsdal,15,Fjord,78,31.05.2011,31.05.2011,2.8,10,220.8,1.5,0.519,3,100.31Z,100,2011,5
1241,1559,Berdalselva,Kraftverk,BERDALSKRAFT_AS,990991251,Møre_og_Romsdal,15,Rauma,39,07.03.2011,07.03.2011,4.35,13.6,304.3,1.7,0.711,3,103.2A,103,2011,5
1315,1586,Rodal,Kraftverk,RODAL_KRAFT_AS,994687786,Trøndelag,50,Heim,55,02.04.2011,02.04.2011,1.7,6.1,155,1.3,0.326,3,113.511Z,113,2011,6
1328,1572,Føssa,Kraftverk,FØSSA_KRAFTVERK_AS,990139458,Trøndelag,50,Orkland,59,09.05.2011,09.05.2011,1.769,5.3,313,0.7,0.699,3,121.B4,121,2011,6
1426,1570,Døla,Kraftverk,CHR_SALVESEN_&_CHR_THAMS'S_COMMUNICATIONS_AKTIESELSKAB,915640850,Trøndelag,50,Steinkjer,6,01.03.2011,01.03.2011,2.1,6.9,169,1.4,0.417,3,128.3A2Z,128,2011,6
1467,1575,Skipelva,Kraftverk,SKIPELVA_KRAFTVERK_AS,993772194,Trøndelag,50,Osen,20,27.04.2011,27.04.2011,0.38,1.9,57,0.8,0.132,3,137.2AZ,137,2011,6
1499,1477,Søberg,Kraftverk,SMÅKRAFT_AS,984616155,Nordland,18,Bindal,11,06.06.2011,06.06.2011,5.2,16,183.5,3.4,0.442,4,145.2C,145,2011,7
1530,1507,Kvassteinåga,Kraftverk,SMÅKRAFT_AS,984616155,Nordland,18,Vefsn,24,25.08.2011,25.08.2011,4.33,15,156.6,3.28,0.367,4,155.3A,155,2011,8
1539,1611,Mofjellet,Kraftverk,STATKRAFT_ENERGI_AS,987059729,Nordland,18,Rana,33,29.08.2011,29.08.2011,0.597,2.6,287,0.25,0.663,4,156.AA,156,2011,8
1543,1652,Ravnåga,Kraftverk,MIP_MILJØKRAFT_AS,819150842,Nordland,18,Rana,33,26.10.2011,26.10.2011,1.25,5.75,38,4,0.087,4,156.CB3Z,156,2011,8
1559,1625,Ågskar,Kraftverk,ÅGSKARKRAFT_AS,992389370,Nordland,18,Rana,33,06.07.2011,06.07.2011,2.4,6.1,202.7,1.35,0.494,4,156.22,156,2011,8
1595,1606,Dversetelva,Kraftverk,DRAGEFOSSEN_AS,911204177,Nordland,18,Saltdal,40,07.06.2011,07.06.2011,3.68,9.5,108.75,4.08,0.251,4,163.2Z,163,2011,8
1625,1579,Storå,Kraftverk,NORDIC_POWER_AS,914341183,Nordland,18,Narvik,6,30.08.2011,30.08.2011,1.9,4.5,136,1.62,0.326,4,171.71,171,2011,9
94,1601,Veslefallet,Kraftverk,VESLEFALLET_KRAFTVERK_AS,922875677,Innlandet,34,Stor-Elvdal,23,20.04.2010,20.04.2010,4.9,15.5,131.5,4.4,0.309,1,002.K6A10,2,2010,1
151,1473,Øynan,Kraftverk,ØYNAN_KRAFTVERK_AS,992295066,Viken,30,Hol,44,02.03.2010,02.03.2010,1.95,5.8,88,2.68,0.202,5,012.CH1,12,2010,1
166,1613,Sønsteby,Kraftverk,MODUM_KRAFTPRODUKSJON_KF,971030674,Viken,30,Modum,47,02.12.2010,02.12.2010,0.1,0.6,197.2,0.06,0.463,1,012.D31,12,2010,1
227,1515,Ridøla,Kraftverk,RIDØLA_KRAFT_AS,991537406,Viken,30,Ål,43,12.03.2010,12.03.2010,1.9,5.1,172,1.37,0.397,5,012.CE2A4,12,2010,1
234,1659,Ramberg,Kraftverk,NA,NA,Viken,30,Flesberg,50,01.01.2010,01.01.2010,0.0815,0.32,NA,NA,NA,1,015.E3Z,15,2010,1
442,1550,Kylland,Kraftverk,KYLLAND_KRAFT_AS,991336699,Agder,42,Åseral,24,24.08.2010,24.08.2010,1.3,3.8,93.4,1.7,0.212,2,022.D7,22,2010,1
467,1452,Stokkelandsåna,Kraftverk,SMÅKRAFT_AS,984616155,Agder,42,Kvinesdal,27,23.04.2010,23.04.2010,3.12,8.35,137,2.7,0.321,2,025.AA,25,2010,1
524,1487,Madland,Kraftverk,MADLAND_KRAFT_AS,992313897,Rogaland,11,Gjesdal,22,19.02.2010,19.02.2010,1.875,8.5,84,1.7,NA,2,030.1F,30,2010,2
545,190,Dalen_1,Kraftverk,JØRPELAND_KRAFT_AS,962130453,Rogaland,11,Strand,30,17.08.2010,17.08.2010,4.9,17.459,181,3.5,0.389,2,032.A2,32,2010,2
546,1501,Jøssang,Kraftverk,JØRPELAND_KRAFT_AS,962130453,Rogaland,11,Strand,30,09.12.2010,09.12.2010,34,92,281,13,0.726,2,032.A,32,2010,2
589,1717,Havrevoll,Kraftverk,KOLBEIN_HAVREVOLL,984694105,Rogaland,11,Suldal,34,01.04.2010,01.04.2010,0.065,0.45,260,0.03,NA,2,036.B4Z,36,2010,2
625,1598,Mosbakka,Kraftverk,MOSBAKKA_KRAFT_AS,990068267,Rogaland,11,Sauda,35,30.04.2010,30.04.2010,4.05,12.8,381.5,1.2,0.938,2,037.3Z,37,2010,2
637,1639,Kjølvik,Kraftverk,JOHANNES_KJØLVIK,877374262,Rogaland,11,Suldal,34,18.10.2010,18.10.2010,0.34,0.9,160,0.24,0.394,2,037.6Z,37,2010,2
646,1488,Imsland,Kraftverk,CHR_SALVESEN_&_CHR_THAMS'S_COMMUNICATIONS_AKTIESELSKAB,915640850,Rogaland,11,Vindafjord,60,05.05.2010,05.05.2010,5,18.2,105,5.73,0.242,2,038.2Z,38,2010,2
651,1599,Ølmedal,Kraftverk,ØLMEDAL_KRAFT_AS,988779121,Rogaland,11,Vindafjord,60,10.02.2010,10.02.2010,4.3,14.3,158,3.3,0.374,2,038.2Z,38,2010,2
654,1593,Dalselva,Kraftverk,DALBYGDA_KRAFTSENTER_AS,990414068,Rogaland,11,Tysvær,46,19.03.2010,19.03.2010,0.3,1.2,NA,NA,NA,2,039.1Z,39,2010,2
671,1602,Ølselva,Kraftverk,ØLSELVA_KRAFTVERK_AS,994325205,Rogaland,11,Vindafjord,60,09.04.2010,09.04.2010,0.56,1.65,86,0.7,0.204,2,041.2Z,41,2010,3
704,1558,Dalsbekken,Kraftverk,MYKLEBUSTDALEN_ENERGI_AS,988967246,Vestland,46,Kvinnherad,17,13.04.2010,13.04.2010,0.7,2.7,434,0.2,0.972,2,045.31Z,45,2010,3
710,1442,Landakraft,Kraftverk,LANDAKRAFT_AS,980713830,Vestland,46,Kvinnherad,17,09.06.2010,09.06.2010,2,8,182,1.38,0.403,2,045.31Z,45,2010,3
718,1547,Dalelva,Kraftverk,DALELVO_KRAFT_AS,993320013,Vestland,46,Kvinnherad,17,31.08.2010,31.08.2010,3.1,9.3,137,2.6,0.331,5,046.42Z,46,2010,3
742,1541,Jåstadkraft,Kraftverk,JÅSTADKRAFT_AS,991542477,Vestland,46,Ullensvang,18,23.06.2010,23.06.2010,0.99,4.5,253.8,0.57,0.555,5,48.1,48,2010,3
789,1588,Haugaelva,Kraftverk,FORSØGET_HAUGAELVA_SMÅKRAFTVERK_AS,992701110,Vestland,46,Bjørnafjorden,24,22.03.2010,22.03.2010,2,7,206,NA,NA,2,53.8,53,2010,3
800,1543,Hopselva,Kraftverk,HOPSELVA_KRAFTVERK_AS,990712603,Vestland,46,Bjørnafjorden,24,30.05.2010,30.05.2010,4.62,16,161,3.3,0.389,2,055.3Z,55,2010,3
842,1494,Syrifossen,Kraftverk,SYRIKRAFT_AS,991730516,Vestland,46,Voss,21,14.04.2010,14.04.2010,2.84,9,113.3,3,0.263,5,062.E2Z,62,2010,4
868,1454,Blådalselva,Kraftverk,SMÅKRAFT_AS,984616155,Vestland,46,Masfjorden,34,27.09.2010,27.09.2010,2.66,6.4,247,1.3,0.568,5,065.7Z,65,2010,4
880,1562,Hauge,Kraftverk,HAUGE_MINIKRAFTVERK_AS,992455209,Vestland,46,Gulen,35,24.02.2010,24.02.2010,0.48,1.82,67,0.92,0.145,5,68.62,68,2010,4
950,1493,Kaupanger_3,Kraftverk,KAUPANGER_ENERGI_AS,990784779,Vestland,46,Sogndal,40,12.04.2010,12.04.2010,5.1,10.3,392,1.527,0.928,5,077.1B,77,2010,4
966,1568,Sværen,Kraftverk,SFE_PRODUKSJON_AS,984882106,Vestland,46,Sogndal,40,26.05.2010,26.05.2010,3.2,9.6,242,1.5,0.593,5,078.6Z,78,2010,4
972,1545,Måren,Kraftverk,SMÅKRAFT_AS,984616155,Vestland,46,Høyanger,38,06.10.2010,06.10.2010,5,22.4,292.5,2.5,0.556,3,079.5Z,79,2010,4
1008,1597,Skyggeelva,Kraftverk,SKYGGEELVA_KRAFT_AS,926678655,Vestland,46,Sunnfjord,47,04.05.2010,04.05.2010,4.76,14,NA,NA,NA,3,083.Z,83,2010,4
1028,1574,Dvergsdalsdalen,Kraftverk,DVERGSDALSDALEN_KRAFTVERK_AS,994193953,Vestland,46,Sunnfjord,47,17.11.2010,17.11.2010,2,7.2,285,0.85,0.654,3,084.E3Z,84,2010,4
1054,1485,Kjøsnesfjorden,Kraftverk,EVINY_FORNYBAR_AS,876944642,Vestland,46,Sunnfjord,47,17.04.2010,17.04.2010,84,247,775.4,12,1.944,3,8.4E+06,84,2010,4
1059,1590,Budalselva,Kraftverk,BUDALSELVA_KRAFT_AS,994507095,Vestland,46,Kinn,2,08.11.2010,08.11.2010,0.54,3.07,107,0.537,0.279,3,085.4Z,85,2010,4
