Linjenr,Løpenummer,Navn,Type,Hovedeier,Org_nr__hovedeier,Fylke,Fylkesnr_,Kommune,Kommunenr_,Dato_for_første_utnyttelse_av_fallet,Dato_for_eldste_kraftproduserende_del,Maks_ytelse_.MW.,Midl__årsproduksjon_.ref__1981.2010._.GWh.,Brutto_fallhøyde_.m.,Maksimal_slukeevne_.m3.s.,Energiekvivalent_.kWh.m3.,Elspotområde,Reginenr,Vannregion,Year_start,PZ
1308,1984,Myrholten,Kraftverk,MYRHOLTEN_KRAFTVERK_AS,820204972,Møre_og_Romsdal,15,Surnadal,66,26.11.2021,26.11.2021,1.93,4.7,324.7,0.75,0.715,3,112.3B0,112,2021,6
1332,1976,Skjerva,Kraftverk,SKJERVA_KRAFT_AS,992621362,Trøndelag,50,Orkland,59,03.05.2021,03.05.2021,3.1,8.2,249.5,1.5,0.574,3,121.B12,121,2021,6
1478,2061,Seterfossen,Kraftverk,SETERFOSSEN_KRAFTVERK_AS,923172068,Trøndelag,50,Namsskogan,44,21.12.2021,21.12.2021,3.8,10,62,6.9,0.153,4,139.E4E,139,2021,7
1492,1980,Hellifossen,Kraftverk,HELLIFOSSEN_KRAFT_AS,921424396,Nordland,18,Bindal,11,17.03.2021,17.03.2021,8.6,27.7,127,8.2,0.291,4,144.4Z,144,2021,7
1567,2066,Kildal,Kraftverk,KILDAL_KRAFT_AS,915443249,Nordland,18,Meløy,37,22.10.2021,22.10.2021,0.3,1,80,0.45,0.185,4,159.92Z,159,2021,8
1579,1981,Breivikelva,Kraftverk,SKS_PRODUKSJON_AS,915637353,Nordland,18,Beiarn,39,30.06.2021,30.06.2021,8.59,27,305.5,4.25,0.561,4,161.32Z,161,2021,8
1608,1957,Veiski,Kraftverk,SMÅKRAFT_GREEN_BOND_2_AS,825750932,Nordland,18,Sørfold,45,18.02.2021,18.02.2021,6.6,22.3,118.3,6.3,0.291,4,166.DA,166,2021,9
1611,2031,Raukforsen,Kraftverk,NORD-SALTEN_KRAFT_AS,995114666,Nordland,18,Sørfold,45,01.02.2021,01.02.2021,5.6,13.4,75.75,7.89,0.197,4,167.C4,167,2021,9
1624,2049,Nedre_Russvik,Kraftverk,RUSSVIK_KRAFT_AS,923833323,Nordland,18,Narvik,6,24.05.2021,24.05.2021,2.8,7,100.2,3.36,0.231,4,171.82A,171,2021,9
1626,2050,Øvre_Russvik,Kraftverk,RUSSVIK_KRAFT_AS,923833323,Nordland,18,Narvik,6,28.05.2021,28.05.2021,5,13,421.7,1.44,0.965,4,171.82C,171,2021,9
1683,1966,Salvasskardelva,Kraftverk,SMÅKRAFT_GREEN_BOND_2_AS,825750932,Troms_og_Finnmark_Romsa_ja_Finnmárku,54,Bardu,16,25.02.2021,25.02.2021,9.3,19.2,139,7.5,0.344,4,196.AC7B2,196,2021,10
1698,2000,Ritaelva,Kraftverk,SKOGNES_OG_STORDALEN_KRAFTLAG_AS,992942703,Troms_og_Finnmark_Romsa_ja_Finnmárku,54,Tromsø,1,08.07.2021,08.07.2021,8.77,22.6,335.6,3.2,0.761,4,203.41A,203,2021,11
1699,2001,Sveingård,Kraftverk,SKOGNES_OG_STORDALEN_KRAFTLAG_AS,992942703,Troms_og_Finnmark_Romsa_ja_Finnmárku,54,Tromsø,1,11.08.2021,11.08.2021,8.76,24.6,253,4.3,0.566,4,203.4Z,203,2021,11
1708,2019,Trollvikelva,Kraftverk,TROLLVIKELVA_KRAFT_AS,920804047,Troms_og_Finnmark_Romsa_ja_Finnmárku,54,Gáivuotna-Kåfjord-Kaivuono,26,13.01.2021,13.01.2021,7.7,17.8,410,2.3,0.906,4,206.31,206,2021,11
85,1889,Nedre_Otta,Kraftverk,HAFSLUND_ECO_VANNKRAFT_AS,976894677,Innlandet,34,Sel,37,06.05.2020,06.05.2020,78,315,55.5,180,0.12,3,002.DHA,2,2020,1
470,2009,Sandvand,Kraftverk,SIRDAL_KRAFT_AS,920828108,Agder,42,Flekkefjord,7,25.03.2020,25.03.2020,1.48,5.3,121.5,1.49,0.276,2,026.D1B,26,2020,1
489,2010,Hemså,Kraftverk,SIRDAL_KRAFT_AS,920828108,Agder,42,Sirdal,28,17.04.2020,17.04.2020,1.7,5.5,189.8,1.02,0.463,2,026.E4A,26,2020,1
493,2008,Liemyr,Kraftverk,SIRDAL_KRAFT_AS,920828108,Agder,42,Sirdal,28,10.03.2020,10.03.2020,1.42,5,31,6.2,0.064,2,026.D1A5,26,2020,1
621,2021,Fivelandselva,Kraftverk,SMÅKRAFT_GREEN_BOND_2_AS,825750932,Rogaland,11,Sauda,35,10.12.2020,10.12.2020,3.06,8.5,244.74,1.5,0.567,2,037.AA0,37,2020,2
630,2032,Svandalen,Kraftverk,SVANDALEN_KRAFTVERK_AS,922592543,Rogaland,11,Sauda,35,26.11.2020,26.11.2020,3.09,9.1,204.2,1.77,0.485,2,37.32,37,2020,2
678,2013,Valdra,Kraftverk,SMÅKRAFT_GREEN_BOND_2_AS,825750932,Vestland,46,Etne,11,07.05.2020,07.05.2020,3.5,8.81,280.3,1.5,0.648,2,042.12Z,42,2020,3
763,1869,Storlia,Kraftverk,STATKRAFT_ENERGI_AS,987059729,Vestland,46,Eidfjord,19,04.09.2020,04.09.2020,8.5,35,84.5,10.31,0.205,5,050.D2,50,2020,3
828,1973,Sædalen,Kraftverk,SÆDALEN_KRAFT_AS,997748093,Vestland,46,Vaksdal,28,29.06.2020,29.06.2020,4.4,10,160,3.25,0.376,5,061.4AZ,61,2020,4
876,1963,Nørlandselva,Kraftverk,CK_KRAFTHOLDING_VEST_AS,915585825,Vestland,46,Masfjorden,34,11.09.2020,11.09.2020,4.9,13.5,129.1,4.5,0.302,5,67.14,67,2020,4
883,2029,Duvedalen,Kraftverk,SMÅKRAFT_GREEN_BOND_2_AS,825750932,Vestland,46,Gulen,35,11.12.2020,11.12.2020,3.3,9.6,270.5,1.5,0.611,5,069.3Z,69,2020,4
889,1894,Østerbø,Kraftverk,SFE_PRODUKSJON_AS,984882106,Vestland,46,Høyanger,38,16.09.2020,16.09.2020,48,165,583.7,9,1.481,5,069.8A2Z,69,2020,4
942,2036,Tørvi,Kraftverk,TØRVI_KRAFT_AS,997025458,Vestland,46,Luster,44,03.12.2020,03.12.2020,0.08,0.32,130,0.1,0.222,5,076.2Z,76,2020,4
951,1926,Leikanger,Kraftverk,LEIKANGER_KRAFT_AS,923662618,Vestland,46,Sogndal,40,29.04.2020,29.04.2020,77,208,595,14.6,1.465,5,077.6Z,77,2020,4
957,1987,Botna,Kraftverk,BOTNA_KRAFT_AS,911605244,Vestland,46,Sogndal,40,25.05.2020,25.05.2020,1.9,6.5,332.5,0.7,0.754,5,78.22,78,2020,4
965,1998,Skeidsflåten,Kraftverk,SKEIDSFLÅTEN_KRAFT_AS,911605260,Vestland,46,Sogndal,40,20.05.2020,20.05.2020,4.8,19.5,82.2,7.25,0.184,5,078.2B,78,2020,4
967,1988,Tverrdalselvi,Kraftverk,TVERRDALSELVI_KRAFT_AS,911605406,Vestland,46,Sogndal,40,30.01.2020,30.01.2020,6.03,17.2,225.3,3.2,0.523,5,078.2B,78,2020,4
973,2003,Nessane,Kraftverk,NESSAKRAFT_AS,914720222,Vestland,46,Høyanger,38,03.12.2020,03.12.2020,8.6,29.6,263.2,4.3,0.556,3,079.4Z,79,2020,4
990,2035,Svartefoss,Kraftverk,SVARTEFOSS_INVEST_AS,997536673,Vestland,46,Fjaler,46,04.11.2020,04.11.2020,0.66,3.9,76.5,1.13,0.162,3,082.DZ,82,2020,4
1047,2015,Stølselva,Kraftverk,SMÅKRAFT_GREEN_BOND_2_AS,825750932,Vestland,46,Sunnfjord,47,19.05.2020,19.05.2020,2.2,6.28,302.68,0.85,0.719,3,084.CA3,84,2020,4
1065,2006,Løkkebø,Kraftverk,SMÅKRAFT_GREEN_BOND_2_AS,825750932,Vestland,46,Kinn,2,03.04.2020,03.04.2020,2.16,6,151.85,1.6,0.375,3,085.E,85,2020,4
1125,1955,Stardalen,Kraftverk,STARDALEN_KRAFT_AS,995445174,Vestland,46,Sunnfjord,47,03.12.2020,03.12.2020,17.37,50,62.5,31.6,0.153,3,087.D8,87,2020,4
