year,prod_area_id,prod_area_name,prod_area_name2,N_discharge_ton,P_discharge_ton
2007,4,Sotra - Stadt,4: Sotra - Stadt,703.6935519455656,94.26062583786585
2007,5,Stad - Hustadvika,5: Stad - Hustadvika,1012.3275038063333,136.7662772681115
2007,6,Nordmøre - Sør-Trøndelag,6: Nordmøre - Sør-Trøndelag,1391.8847627220493,166.81313175223926
2007,7,Nord-Trøndelag - Bindal,7: Nord-Trøndelag - Bindal,1452.5509773472056,171.38000188119034
2007,8,Helgeland - Bodø,8: Helgeland - Bodø,1026.7,155.2
2007,9,Vestfjorden - Vesterålen,9: Vestfjorden - Vesterålen,1015.1962059187297,153.12451947219145
2007,10,Andfjorden - Senja,10: Andfjorden - Senja,718.5390906018027,99.60251951927357
2007,11,Kvaløya - Loppa,11: Kvaløya - Loppa,693.703083051574,95.21329740000961
2007,12,Vest-Finnmark,12: Vest-Finnmark,309.3683980194464,42.6648387937151
2007,13,Øst-Finnmark,13: Øst-Finnmark,306.7,42.3
2008,1,Svenskegrensen - Jæren,1: Svenskegrensen - Jæren,883.3812114965614,41.55612898028538
2008,2,Ryfylke,2: Ryfylke,1136.8586794809817,106.23318595096515
2008,3,Karmøy - Sotra,3: Karmøy - Sotra,1761.7467899254746,241.81641440534148
2008,4,Sotra - Stadt,4: Sotra - Stadt,704.3968295885498,95.87402016141618
2008,5,Stad - Hustadvika,5: Stad - Hustadvika,1011.2161821241779,137.96016429203561
2008,6,Nordmøre - Sør-Trøndelag,6: Nordmøre - Sør-Trøndelag,1384.086207294177,169.92840859548818
2008,7,Nord-Trøndelag - Bindal,7: Nord-Trøndelag - Bindal,1441.738916141225,174.31732203123693
2008,8,Helgeland - Bodø,8: Helgeland - Bodø,1010.3,153.3
2008,9,Vestfjorden - Vesterålen,9: Vestfjorden - Vesterålen,1000.889069030523,150.88034430928857
2008,10,Andfjorden - Senja,10: Andfjorden - Senja,758.2022116225688,88.4828368264898
2008,11,Kvaløya - Loppa,11: Kvaløya - Loppa,737.2621881978228,83.47688933008267
2008,12,Vest-Finnmark,12: Vest-Finnmark,308.77494490063185,42.58391590337979
2008,13,Øst-Finnmark,13: Øst-Finnmark,305.8,42.3
2009,1,Svenskegrensen - Jæren,1: Svenskegrensen - Jæren,913.3680870807052,41.2009567635094
2009,2,Ryfylke,2: Ryfylke,1198.263714401335,106.60750934942756
2009,3,Karmøy - Sotra,3: Karmøy - Sotra,1874.3401458117612,227.99327441498048
2009,4,Sotra - Stadt,4: Sotra - Stadt,733.5690817707458,92.08280163133811
2009,5,Stad - Hustadvika,5: Stad - Hustadvika,1026.053330874632,138.36780418254128
2009,6,Nordmøre - Sør-Trøndelag,6: Nordmøre - Sør-Trøndelag,1444.2063204835224,160.72365931811896
2009,7,Nord-Trøndelag - Bindal,7: Nord-Trøndelag - Bindal,1510.0277899556672,163.45680508370023
2009,8,Helgeland - Bodø,8: Helgeland - Bodø,1011.2,155.2
2009,9,Vestfjorden - Vesterålen,9: Vestfjorden - Vesterålen,1003.6003342817597,153.3435400304024
2009,10,Andfjorden - Senja,10: Andfjorden - Senja,807.6219558946935,105.46959032377234
2009,11,Kvaløya - Loppa,11: Kvaløya - Loppa,790.0579395410626,101.48742949625108
2009,12,Vest-Finnmark,12: Vest-Finnmark,324.13485825179345,44.19775657961421
2009,13,Øst-Finnmark,13: Øst-Finnmark,320.9,43.8
2010,1,Svenskegrensen - Jæren,1: Svenskegrensen - Jæren,904.4920506623474,42.47417001687201
2010,2,Ryfylke,2: Ryfylke,1239.0475863176484,116.64126384468038
2010,3,Karmøy - Sotra,3: Karmøy - Sotra,1866.9095986682714,228.26709479342819
2010,4,Sotra - Stadt,4: Sotra - Stadt,733.6069370225713,88.44537410818974
2010,5,Stad - Hustadvika,5: Stad - Hustadvika,1008.7852634642027,135.92594922198967
2010,6,Nordmøre - Sør-Trøndelag,6: Nordmøre - Sør-Trøndelag,1450.6252740586356,160.56730122249252
2010,7,Nord-Trøndelag - Bindal,7: Nord-Trøndelag - Bindal,1521.8737711213325,164.32360922680527
2010,8,Helgeland - Bodø,8: Helgeland - Bodø,1007.7,155.9
2010,9,Vestfjorden - Vesterålen,9: Vestfjorden - Vesterålen,998.3273107152902,153.7584656530485
2010,10,Andfjorden - Senja,10: Andfjorden - Senja,756.6266208106559,98.53308546712316
2010,11,Kvaløya - Loppa,11: Kvaløya - Loppa,735.8053013707536,94.01868654662596
2010,12,Vest-Finnmark,12: Vest-Finnmark,315.2200819241333,42.45798092165279
2010,13,Øst-Finnmark,13: Øst-Finnmark,312.3,42.1
