"year","prod_area_name","prod_area_id","production_per_region"
2013,"Vest-Finnmark",12,9278674.315
2013,"Vestfjorden - Vesterålen",9,105739297.74
2014,"Andfjorden - Senja",10,98595955.529
2014,"Helgeland - Bodø",8,117609841.023
2014,"Karmøy - Sotra",3,153955510.671
2014,"Kvaløya - Loppa",11,51074482.462
2014,"Nord-Trøndelag - Bindal",7,113740161.631
2014,"Nordmøre - Sør-Trøndelag",6,243759520.467
2014,"Øst-Finnmark",13,7836296.462
2014,"Ryfylke",2,40482543.074
2014,"Sotra - Stadt",4,157927439.617
2014,"Stad - Hustadvika",5,71557871.443
2014,"Svenskegrensen - Jæren",1,16538090
2014,"Vest-Finnmark",12,125021241.332
2014,"Vestfjorden - Vesterålen",9,110883940.321
2015,"Andfjorden - Senja",10,115207642.404
2015,"Helgeland - Bodø",8,133230094.313
2015,"Karmøy - Sotra",3,155613714.637
2015,"Kvaløya - Loppa",11,59542759.672
2015,"Nord-Trøndelag - Bindal",7,104732036.892
2015,"Nordmøre - Sør-Trøndelag",6,230861818.167
2015,"Øst-Finnmark",13,5428697.683
2015,"Ryfylke",2,53009344.984
2015,"Sotra - Stadt",4,162773665.491
2015,"Stad - Hustadvika",5,46640238.845
2015,"Svenskegrensen - Jæren",1,15907305.306
2015,"Vest-Finnmark",12,68606916.564
2015,"Vestfjorden - Vesterålen",9,91494126.817
2016,"Andfjorden - Senja",10,105528981.847
2016,"Helgeland - Bodø",8,124515227.941
2016,"Karmøy - Sotra",3,151713087.846
2016,"Kvaløya - Loppa",11,49684079.939
2016,"Nord-Trøndelag - Bindal",7,103567269.187
2016,"Nordmøre - Sør-Trøndelag",6,195552023.936
2016,"Øst-Finnmark",13,8529145.469
2016,"Ryfylke",2,49768239.375
2016,"Sotra - Stadt",4,148257370.802
2016,"Stad - Hustadvika",5,48973253.605
2016,"Svenskegrensen - Jæren",1,16479895.993
2016,"Vest-Finnmark",12,69050863.192
2016,"Vestfjorden - Vesterålen",9,104811296.152
2017,"Andfjorden - Senja",10,122648144.704
2017,"Helgeland - Bodø",8,127554029.928
2017,"Karmøy - Sotra",3,154944769.253
2017,"Kvaløya - Loppa",11,72912675.615
2017,"Nord-Trøndelag - Bindal",7,108475741.102
2017,"Nordmøre - Sør-Trøndelag",6,224725943.634
2017,"Øst-Finnmark",13,14131822.854
2017,"Ryfylke",2,54136663.072
2017,"Sotra - Stadt",4,139660319.384
2017,"Stad - Hustadvika",5,55857568.362
2017,"Svenskegrensen - Jæren",1,13439724.89
2017,"Vest-Finnmark",12,78528302.301
2017,"Vestfjorden - Vesterålen",9,110127353.909
2018,"Andfjorden - Senja",10,105289431.795
2018,"Helgeland - Bodø",8,140542406.866
2018,"Karmøy - Sotra",3,148698306.626
2018,"Kvaløya - Loppa",11,66814719.453
2018,"Nord-Trøndelag - Bindal",7,95472761.563
2018,"Nordmøre - Sør-Trøndelag",6,250451685.077
2018,"Øst-Finnmark",13,7393319.596
2018,"Ryfylke",2,48866773.277
2018,"Sotra - Stadt",4,126608268.722
2018,"Stad - Hustadvika",5,63485184.643
2018,"Svenskegrensen - Jæren",1,19316471.307
2018,"Vest-Finnmark",12,97173554.494
2018,"Vestfjorden - Vesterålen",9,117714773.964
2019,"Andfjorden - Senja",10,102514920.74
2019,"Helgeland - Bodø",8,162050225.735
2019,"Karmøy - Sotra",3,150530188.049
2019,"Kvaløya - Loppa",11,68633891.881
2019,"Nord-Trøndelag - Bindal",7,123855875.894
2019,"Nordmøre - Sør-Trøndelag",6,214949603.455
2019,"Øst-Finnmark",13,6971276.038
2019,"Ryfylke",2,56590648.142
2019,"Sotra - Stadt",4,147250538.934
2019,"Stad - Hustadvika",5,69784059.469
2019,"Svenskegrensen - Jæren",1,11438021.073
2019,"Vest-Finnmark",12,111004933.361
2019,"Vestfjorden - Vesterålen",9,116545622.268
2020,"Andfjorden - Senja",10,101895525.47
2020,"Helgeland - Bodø",8,173193640.487
2020,"Karmøy - Sotra",3,171008818.892
2020,"Kvaløya - Loppa",11,77719496.959
2020,"Nord-Trøndelag - Bindal",7,107928488.942
2020,"Nordmøre - Sør-Trøndelag",6,270925227.906
2020,"Øst-Finnmark",13,15937709.911
2020,"Ryfylke",2,57292648.161
2020,"Sotra - Stadt",4,134283248
2020,"Stad - Hustadvika",5,80168052.506
2020,"Svenskegrensen - Jæren",1,22736550.994
2020,"Vest-Finnmark",12,106196849.817
2020,"Vestfjorden - Vesterålen",9,163730856.256
