"","municip_number","location_number","latlon","sea_temperature","sitting_lice","moving_lice","adult_females","year","month","date","prod_area_id","prod_area_name"
"48","1868",10508,"(-999.0,-999.0)",NA,NA,NA,NA,2008,5,1,9,"Vestfjorden - Vesterålen"
"49","1868",10508,"(-999.0,-999.0)",5.27,NA,0,0,2008,6,1,9,"Vestfjorden - Vesterålen"
"50","1936",10562,"(-999.0,-999.0)",3.7,NA,0,0,2005,2,1,11,"Kvaløya - Loppa"
"51","1936",10562,"(-999.0,-999.0)",3.2,NA,0,0,2005,3,1,11,"Kvaløya - Loppa"
"52","2023",10685,"(-999.0,-999.0)",3,NA,0,0,2005,2,1,13,"Øst-Finnmark"
"53","1941",10720,"(-999.0,-999.0)",4.6,NA,0,0,2005,2,1,11,"Kvaløya - Loppa"
"54","1941",10720,"(-999.0,-999.0)",4,NA,0,0,2005,3,1,11,"Kvaløya - Loppa"
"55","1941",10720,"(-999.0,-999.0)",3.4,NA,1,0.2,2005,4,1,11,"Kvaløya - Loppa"
"56","1941",10720,"(-999.0,-999.0)",3.6,NA,1.5,0.5,2005,5,1,11,"Kvaløya - Loppa"
"57","1941",10720,"(-999.0,-999.0)",10.5,NA,0,0,2005,8,1,11,"Kvaløya - Loppa"
"58","1941",10720,"(-999.0,-999.0)",10.9,NA,0,0.1,2005,9,1,11,"Kvaløya - Loppa"
"59","1941",10720,"(-999.0,-999.0)",10,NA,0.3,0.2,2005,10,1,11,"Kvaløya - Loppa"
"60","1941",10720,"(-999.0,-999.0)",8.5,NA,0.4,0.3,2005,11,1,11,"Kvaløya - Loppa"
"61","1941",10720,"(-999.0,-999.0)",7.3,NA,0.5,0.4,2005,12,1,11,"Kvaløya - Loppa"
"62","1941",10720,"(-999.0,-999.0)",6.3,NA,0.6,0.4,2006,1,1,11,"Kvaløya - Loppa"
"63","1941",10720,"(-999.0,-999.0)",5.4,NA,1.5,0.9,2006,2,1,11,"Kvaløya - Loppa"
"64","1941",10720,"(-999.0,-999.0)",4.5,NA,1.5,1,2006,3,1,11,"Kvaløya - Loppa"
"65","1941",10720,"(-999.0,-999.0)",7.7,NA,0,0,2006,7,1,11,"Kvaløya - Loppa"
"66","1941",10720,"(-999.0,-999.0)",8.8,NA,0,0,2006,8,1,11,"Kvaløya - Loppa"
"67","1941",10720,"(-999.0,-999.0)",10.1,NA,0.6,0.25,2006,9,1,11,"Kvaløya - Loppa"
"68","1941",10720,"(-999.0,-999.0)",9.7,NA,0.8,0.4,2006,10,1,11,"Kvaløya - Loppa"
"69","1941",10720,"(-999.0,-999.0)",8.6,NA,1,0.4,2006,11,1,11,"Kvaløya - Loppa"
"70","1941",10720,"(-999.0,-999.0)",6.8,NA,3,0.4,2006,12,1,11,"Kvaløya - Loppa"
"71","1941",10720,"(-999.0,-999.0)",6.3,NA,3.5,0.4,2007,1,1,11,"Kvaløya - Loppa"
"72","1941",10720,"(-999.0,-999.0)",5.1,NA,3.9,0.4,2007,2,1,11,"Kvaløya - Loppa"
"73","1941",10720,"(-999.0,-999.0)",4.1,NA,0.15,0.8,2007,3,1,11,"Kvaløya - Loppa"
"74","1941",10720,"(-999.0,-999.0)",3.8,NA,0.15,0.8,2007,4,1,11,"Kvaløya - Loppa"
"75","1941",10720,"(-999.0,-999.0)",4.1,NA,0,0,2007,5,1,11,"Kvaløya - Loppa"
