"year","county","municip_number","municip_name","total_mcp_area","sea_mcp_area","prod_area_id","prod_area_name","feed_consumption_kg"
2005,"ROGALAND OG AGDER","1004","Flekkefjord",859.7897118,315.7247669,1,"Svenskegrensen - Jæren",12766025
2005,"ROGALAND OG AGDER","1102","Sandnes",354.2062791,50.16293802,2,"Ryfylke",3277301
2005,"ROGALAND OG AGDER","1106","Haugesund",365.6018361,292.9220733,3,"Karmøy - Sotra",253570
2005,"ROGALAND OG AGDER","1102","Sandnes",354.2062791,50.16293802,2,"Ryfylke",55263
2005,"ROGALAND OG AGDER","1122","Gjesdal",626.4959988,8.515393126,2,"Ryfylke",870176
2005,"ROGALAND OG AGDER","1127","Randaberg",90.72090124,66.0074138,2,"Ryfylke",499212
2005,"ROGALAND OG AGDER","1129","Forsand",846.3640797,66.30523597,2,"Ryfylke",46946
2005,"ROGALAND OG AGDER","1133","Hjelmeland",1195.202576,106.3627705,2,"Ryfylke",10210713
2005,"ROGALAND OG AGDER","1134","Suldal",1909.018247,172.3661785,2,"Ryfylke",7026329
2005,"ROGALAND OG AGDER","1141","Finnøy",388.3073287,283.9151293,2,"Ryfylke",18745921
2005,"ROGALAND OG AGDER","1142","Rennesøy",215.3021677,149.7881054,2,"Ryfylke",1908898
2005,"ROGALAND OG AGDER","1145","Bokn",188.6204715,141.4520961,2,"Ryfylke",1948253
2005,"ROGALAND OG AGDER","1146","Tysvær",635.7009671,210.2175249,2,"Ryfylke",7277006
2005,"ROGALAND OG AGDER","1149","Karmøy",1347.71291,1117.755891,3,"Karmøy - Sotra",2273088
2005,"ROGALAND OG AGDER","1160","Vindafjord",765.0393543,144.4528759,3,"Karmøy - Sotra",6180976
2005,"HORDALAND","1201","Bergen",570.1995911,105.4849028,3,"Karmøy - Sotra",236
2005,"HORDALAND","1211","Etne",813.6223475,78.34093032,3,"Karmøy - Sotra",6160255
2005,"HORDALAND","1216","Sveio",373.9963504,127.8434417,3,"Karmøy - Sotra",5058339
2005,"HORDALAND","1219","Bømlo",1657.340024,1410.765071,3,"Karmøy - Sotra",7942961
2005,"HORDALAND","1221","Stord",225.8352936,82.10288014,3,"Karmøy - Sotra",3661816
2005,"HORDALAND","1222","Fitjar",240.604969,98.14389542,3,"Karmøy - Sotra",7603513
2005,"HORDALAND","1223","Tysnes",482.4829466,227.3679339,3,"Karmøy - Sotra",10854196
2005,"HORDALAND","1224","Kvinnherad",1505.831668,415.085879,3,"Karmøy - Sotra",21015227
2005,"HORDALAND","1227","Jondal",330.9853245,83.91339296,3,"Karmøy - Sotra",5310265
2005,"HORDALAND","1238","Kvam",762.0051348,145.0727491,3,"Karmøy - Sotra",6129219
