"year","county","municip_number","municip_name","total_mcp_area","sea_mcp_area","prod_area_id","prod_area_name","died_fish_count"
2005,"ROGALAND OG AGDER","1004","Flekkefjord",859.7897118,315.7247669,1,"Svenskegrensen - Jæren",334079
2005,"ROGALAND OG AGDER","1102","Sandnes",354.2062791,50.16293802,2,"Ryfylke",47657
2005,"ROGALAND OG AGDER","1106","Haugesund",365.6018361,292.9220733,3,"Karmøy - Sotra",4788
2005,"ROGALAND OG AGDER","1102","Sandnes",354.2062791,50.16293802,2,"Ryfylke",2805
2005,"ROGALAND OG AGDER","1122","Gjesdal",626.4959988,8.515393126,2,"Ryfylke",6698
2005,"ROGALAND OG AGDER","1127","Randaberg",90.72090124,66.0074138,2,"Ryfylke",23702
2005,"ROGALAND OG AGDER","1129","Forsand",846.3640797,66.30523597,2,"Ryfylke",1466
2005,"ROGALAND OG AGDER","1133","Hjelmeland",1195.202576,106.3627705,2,"Ryfylke",192535
2005,"ROGALAND OG AGDER","1134","Suldal",1909.018247,172.3661785,2,"Ryfylke",140995
2005,"ROGALAND OG AGDER","1141","Finnøy",388.3073287,283.9151293,2,"Ryfylke",466447
2005,"ROGALAND OG AGDER","1142","Rennesøy",215.3021677,149.7881054,2,"Ryfylke",162823
2005,"ROGALAND OG AGDER","1145","Bokn",188.6204715,141.4520961,2,"Ryfylke",18459
2005,"ROGALAND OG AGDER","1146","Tysvær",635.7009671,210.2175249,2,"Ryfylke",222425
2005,"ROGALAND OG AGDER","1149","Karmøy",1347.71291,1117.755891,3,"Karmøy - Sotra",32188
2005,"ROGALAND OG AGDER","1160","Vindafjord",765.0393543,144.4528759,3,"Karmøy - Sotra",160152
2005,"HORDALAND","1201","Bergen",570.1995911,105.4849028,3,"Karmøy - Sotra",0
2005,"HORDALAND","1211","Etne",813.6223475,78.34093032,3,"Karmøy - Sotra",490516
2005,"HORDALAND","1216","Sveio",373.9963504,127.8434417,3,"Karmøy - Sotra",95001
2005,"HORDALAND","1219","Bømlo",1657.340024,1410.765071,3,"Karmøy - Sotra",369647
2005,"HORDALAND","1221","Stord",225.8352936,82.10288014,3,"Karmøy - Sotra",167070
2005,"HORDALAND","1222","Fitjar",240.604969,98.14389542,3,"Karmøy - Sotra",207311
2005,"HORDALAND","1223","Tysnes",482.4829466,227.3679339,3,"Karmøy - Sotra",707099
2005,"HORDALAND","1224","Kvinnherad",1505.831668,415.085879,3,"Karmøy - Sotra",340633
2005,"HORDALAND","1227","Jondal",330.9853245,83.91339296,3,"Karmøy - Sotra",121379
2005,"HORDALAND","1238","Kvam",762.0051348,145.0727491,3,"Karmøy - Sotra",133101
2005,"HORDALAND","1241","Fusa",507.0776654,129.2463033,3,"Karmøy - Sotra",759836
2005,"HORDALAND","1242","Samnanger",290.0844722,21.0179771,3,"Karmøy - Sotra",1813
2005,"HORDALAND","1243","Os",245.5334546,105.9583688,3,"Karmøy - Sotra",28590
2005,"HORDALAND","1244","Austevoll",947.0877377,829.8981232,3,"Karmøy - Sotra",777503
2005,"HORDALAND","1245","Sund",564.9350737,465.3951173,3,"Karmøy - Sotra",281240
2005,"HORDALAND","1246","Fjell",768.9276823,620.7603078,3,"Karmøy - Sotra",67354
2005,"HORDALAND","1247","Askøy",219.6391485,118.5156823,4,"Sotra - Stadt",41180
2005,"HORDALAND","1253","Osterøy",311.6455974,56.5278112,4,"Sotra - Stadt",279586
2005,"HORDALAND","1256","Meland",130.5215556,37.93871393,4,"Sotra - Stadt",67701
