"","year","prod_area_id","prod_area_name","feed_used_kg","escapees_count","deadfish_count"
"102",2012,11,"Kvaløya - Loppa",50450159,2020,1125148
"103",2012,12,"Vest-Finnmark",73652477,0,2560875
"104",2012,13,"Øst-Finnmark",5806922,0,542785
"105",2013,1,"Svenskegrensen - Jæren",17354858,0,433996
"106",2013,2,"Ryfylke",73626730,0,2726246
"107",2013,3,"Karmøy - Sotra",205830456,68009,6739932
"108",2013,4,"Sotra - Stadt",207948016,8652,5025908
"109",2013,5,"Stad - Hustadvika",88078587,0,1028662
"110",2013,6,"Nordmøre - Sør-Trøndelag",247898394,30030,6103092
"111",2013,7,"Nord-Trøndelag - Bindal",130735265,60528,2162158
"112",2013,8,"Helgeland - Bodø",135229396,0,3163904
"113",2013,9,"Vestfjorden - Vesterålen",134740869,0,2412898
"114",2013,10,"Andfjorden - Senja",98352546,0,1837359
"115",2013,11,"Kvaløya - Loppa",58320468,0,1506901
"116",2013,12,"Vest-Finnmark",36473446,0,1424796
"117",2013,13,"Øst-Finnmark",19278390,0,256314
"118",2014,1,"Svenskegrensen - Jæren",20050534,0,545850
"119",2014,2,"Ryfylke",65520512,0,2916657
"120",2014,3,"Karmøy - Sotra",223998893,20000,9837691
"121",2014,4,"Sotra - Stadt",221177236,119888,6573146
"122",2014,5,"Stad - Hustadvika",97536498,0,2422174
"123",2014,6,"Nordmøre - Sør-Trøndelag",282918671,0,5079571
"124",2014,7,"Nord-Trøndelag - Bindal",118534060,0,2236006
"125",2014,8,"Helgeland - Bodø",146557166,0,2107608
"126",2014,9,"Vestfjorden - Vesterålen",143487825,20000,2650502
"127",2014,10,"Andfjorden - Senja",121907066,0,1641447
"128",2014,11,"Kvaløya - Loppa",59357096,500,1888041
"129",2014,12,"Vest-Finnmark",95971478,8212,3689385
"130",2014,13,"Øst-Finnmark",10692328,0,143020
"131",2015,1,"Svenskegrensen - Jæren",21718985,0,698040
"132",2015,2,"Ryfylke",80711056,0,2716330
"133",2015,3,"Karmøy - Sotra",235286003,21292,7641251
"134",2015,4,"Sotra - Stadt",222887575,168378,5130992
"135",2015,5,"Stad - Hustadvika",73432674,2250,1833402
"136",2015,6,"Nordmøre - Sør-Trøndelag",258722416,1415,7051910
"137",2015,7,"Nord-Trøndelag - Bindal",112525454,14511,1664501
"138",2015,8,"Helgeland - Bodø",150766259,0,2262895
"139",2015,9,"Vestfjorden - Vesterålen",126083965,18755,4690780
"140",2015,10,"Andfjorden - Senja",133802712,0,2554498
"141",2015,11,"Kvaløya - Loppa",71627862,0,1783815
"142",2015,12,"Vest-Finnmark",103541538,0,3272117
"143",2015,13,"Øst-Finnmark",8029613,0,187668
"144",2016,1,"Svenskegrensen - Jæren",22807258,0,2039515
"145",2016,2,"Ryfylke",89967901,0,2626606
"146",2016,3,"Karmøy - Sotra",235862704,92846,8384952
"147",2016,4,"Sotra - Stadt",216678043,1231,6217385
"148",2016,5,"Stad - Hustadvika",79817629,0,3043470
"149",2016,6,"Nordmøre - Sør-Trøndelag",275298082,10768,9886686
"150",2016,7,"Nord-Trøndelag - Bindal",111570149,0,2068433
"151",2016,8,"Helgeland - Bodø",147930588,1,3218034
"152",2016,9,"Vestfjorden - Vesterålen",129907518,0,2453043
"153",2016,10,"Andfjorden - Senja",128213819,5765,2600040
"154",2016,11,"Kvaløya - Loppa",75374456,0,1667793
