year,treatment_type,prod_area_id,prod_area_name,sum_treaments
2018,Bath,3,Karmøy - Sotra,28
2018,Bath,4,Sotra - Stadt,38
2018,Bath,6,Nordmøre - Sør-Trøndelag,4
2018,Bath,7,Nord-Trøndelag - Bindal,1
2018,Bath,8,Helgeland - Bodø,7
2018,Bath,9,Vestfjorden - Vesterålen,13
2018,Bath,10,Andfjorden - Senja,36
2018,Bath,11,Kvaløya - Loppa,15
2018,Bath,12,Vest-Finnmark,44
2018,Bath,13,Øst-Finnmark,3
2018,Feed,1,Svenskegrensen - Jæren,2
2018,Feed,2,Ryfylke,14
2018,Feed,3,Karmøy - Sotra,74
2018,Feed,4,Sotra - Stadt,79
2018,Feed,5,Stad - Hustadvika,16
2018,Feed,6,Nordmøre - Sør-Trøndelag,22
2018,Feed,7,Nord-Trøndelag - Bindal,33
2018,Feed,8,Helgeland - Bodø,68
2018,Feed,9,Vestfjorden - Vesterålen,106
2018,Feed,10,Andfjorden - Senja,55
2018,Feed,11,Kvaløya - Loppa,29
2018,Feed,12,Vest-Finnmark,43
2019,Bath,2,Ryfylke,33
2019,Bath,3,Karmøy - Sotra,27
2019,Bath,4,Sotra - Stadt,46
2019,Bath,5,Stad - Hustadvika,10
2019,Bath,6,Nordmøre - Sør-Trøndelag,11
2019,Bath,7,Nord-Trøndelag - Bindal,18
2019,Bath,8,Helgeland - Bodø,9
2019,Bath,9,Vestfjorden - Vesterålen,12
2019,Bath,10,Andfjorden - Senja,47
2019,Bath,11,Kvaløya - Loppa,6
2019,Bath,12,Vest-Finnmark,22
2019,Feed,1,Svenskegrensen - Jæren,11
2019,Feed,2,Ryfylke,42
2019,Feed,3,Karmøy - Sotra,62
2019,Feed,4,Sotra - Stadt,124
2019,Feed,5,Stad - Hustadvika,30
2019,Feed,6,Nordmøre - Sør-Trøndelag,62
2019,Feed,7,Nord-Trøndelag - Bindal,34
2019,Feed,8,Helgeland - Bodø,74
2019,Feed,9,Vestfjorden - Vesterålen,116
2019,Feed,10,Andfjorden - Senja,64
2019,Feed,11,Kvaløya - Loppa,23
2019,Feed,12,Vest-Finnmark,43
2019,Feed,13,Øst-Finnmark,3
2020,Bath,1,Svenskegrensen - Jæren,2
2020,Bath,2,Ryfylke,11
2020,Bath,3,Karmøy - Sotra,55
2020,Bath,4,Sotra - Stadt,38
2020,Bath,5,Stad - Hustadvika,2
2020,Bath,6,Nordmøre - Sør-Trøndelag,4
2020,Bath,7,Nord-Trøndelag - Bindal,6
