"year","county","municip_number","production_final","municip_name","total_mcp_area","sea_mcp_area","prod_area_id","prod_area_name"
2005,"MØRE OG ROMSDAL","1547",784141.938,"Aukra",461.7591187,402.6819283,5,"Stad - Hustadvika"
2005,"MØRE OG ROMSDAL","1548",1894064.59,"Fræna",1123.537617,753.7385211,5,"Stad - Hustadvika"
2005,"MØRE OG ROMSDAL","1551",346335.84,"Eide",445.1395783,293.0397792,6,"Nordmøre - Sør-Trøndelag"
2005,"MØRE OG ROMSDAL","1554",6610630.888,"Averøy",718.5878787,542.9088935,6,"Nordmøre - Sør-Trøndelag"
2005,"MØRE OG ROMSDAL","1560",577106.219,"Tingvoll",504.8050354,167.995332,6,"Nordmøre - Sør-Trøndelag"
2005,"MØRE OG ROMSDAL","1557",3047242.967,"Gjemnes",470.6056636,88.97445949,6,"Nordmøre - Sør-Trøndelag"
2005,"MØRE OG ROMSDAL","1560",NA,"Tingvoll",504.8050354,167.995332,6,"Nordmøre - Sør-Trøndelag"
2005,"MØRE OG ROMSDAL","1563",NA,"Sunndal",1799.591061,86.22058664,6,"Nordmøre - Sør-Trøndelag"
2005,"MØRE OG ROMSDAL","1566",105627.316,"Surnadal",1453.246482,87.19487793,6,"Nordmøre - Sør-Trøndelag"
2005,"MØRE OG ROMSDAL","1571",8440098.807,"Halsa",383.3083884,82.7797689,6,"Nordmøre - Sør-Trøndelag"
2005,"MØRE OG ROMSDAL","1573",4744963.215,"Smøla",2154.4903,1882.580854,6,"Nordmøre - Sør-Trøndelag"
2005,"MØRE OG ROMSDAL","1576",7277493.773,"Aure",1048.31036,406.9303226,6,"Nordmøre - Sør-Trøndelag"
2005,"NORDLAND","1804",342154.779,"Bodø",4826.69546,3431.421782,9,"Vestfjorden - Vesterålen"
2005,"NORDLAND","1811",1773994.385,"Bindal",1905.535218,641.2837483,7,"Nord-Trøndelag - Bindal"
2005,"NORDLAND","1812",4266908.258,"Sømna",790.0974216,594.8391077,8,"Helgeland - Bodø"
2005,"NORDLAND","1813",1611251.035,"Brønnøy",2099.156683,1052.809515,8,"Helgeland - Bodø"
2005,"NORDLAND","1815",722991.653,"Vega",2921.376588,2756.590844,8,"Helgeland - Bodø"
2005,"NORDLAND","1816",424869.348,"Vevelstad",661.1474773,122.0988447,8,"Helgeland - Bodø"
2005,"NORDLAND","1818",750516.545,"Herøy",2262.099657,2197.637411,8,"Helgeland - Bodø"
2005,"NORDLAND","1820",4098260.765,"Alstahaug",585.2205361,397.1046147,8,"Helgeland - Bodø"
2005,"NORDLAND","1824",1676524.266,"Vefsn",2030.300385,100.8914234,8,"Helgeland - Bodø"
2005,"NORDLAND","1827",3927009.07,"Dønna",759.3091081,567.3688444,8,"Helgeland - Bodø"
2005,"NORDLAND","1828",1315955.447,"Nesna",402.8211117,219.6396197,8,"Helgeland - Bodø"
2005,"NORDLAND","1833",2515529.399,"Rana",4588.20917,128.0210568,8,"Helgeland - Bodø"
2005,"NORDLAND","1834",5293795.345,"Lurøy",1337.693384,1072.508261,8,"Helgeland - Bodø"
2005,"NORDLAND","1835",1189785.45,"Træna",1793.812792,1777.298315,8,"Helgeland - Bodø"
2005,"NORDLAND","1836",8822470.605,"Rødøy",3103.057128,2391.768309,8,"Helgeland - Bodø"
2005,"NORDLAND","1837",6228463.047,"Meløy",2746.283777,1872.455608,8,"Helgeland - Bodø"
2005,"NORDLAND","1838",6419499.983,"Gildeskål",1502.253204,837.5510572,8,"Helgeland - Bodø"
2005,"NORDLAND","1840",816275.121,"Saltdal",2245.948768,29.75933009,8,"Helgeland - Bodø"
2005,"NORDLAND","1841",938417.42,"c(\Fauske\, \Fuossko\)",1293.965081,96.99544864,8,"Helgeland - Bodø"
2005,"NORDLAND","1845",5703938.558,"Sørfold",1829.725893,192.322705,9,"Vestfjorden - Vesterålen"
2005,"NORDLAND","1848",6958914.299,"Steigen",3484.477675,2475.231549,9,"Vestfjorden - Vesterålen"
2005,"NORDLAND","1849",2475057.207,"c(\Hamarøy\, \Hábmer\)",1562.514447,528.9225273,9,"Vestfjorden - Vesterålen"
2005,"NORDLAND","1850",504257.074,"c(\Tysfjord\, \Divtasvuodna\)",1929.019449,465.2612621,9,"Vestfjorden - Vesterålen"
2005,"NORDLAND","1851",1445482.965,"Lødingen",1043.931094,516.5166935,9,"Vestfjorden - Vesterålen"
2005,"NORDLAND","1852",735179.48,"Tjeldsund",444.826713,125.4910974,9,"Vestfjorden - Vesterålen"
2005,"NORDLAND","1854",398401.289,"Ballangen",1193.130637,260.9146791,9,"Vestfjorden - Vesterålen"
2005,"NORDLAND","1859",1605962.919,"Flakstad",1172.39812,994.0116752,9,"Vestfjorden - Vesterålen"
2005,"NORDLAND","1860",NA,"Vestvågøy",2109.641746,1685.080756,9,"Vestfjorden - Vesterålen"
2005,"NORDLAND","1865",8014323.758,"Vågan",2087.475486,1608.301755,9,"Vestfjorden - Vesterålen"
2005,"NORDLAND","1866",7128873.601,"Hadsel",1184.413105,617.8636024,9,"Vestfjorden - Vesterålen"
2005,"NORDLAND","1867",3049089.626,"Bø",1825.744963,1579.045433,9,"Vestfjorden - Vesterålen"
2005,"NORDLAND","1868",7366924.784,"Øksnes",1815.174302,1495.658041,9,"Vestfjorden - Vesterålen"
2005,"NORDLAND","1870",2964265.905,"c(\Sortland\, \Suortá\)",1093.027537,371.1023103,9,"Vestfjorden - Vesterålen"
2005,"ROGALAND OG AGDER","0926",505923.64,"Lillesand",850.7528011,660.3214617,1,"Svenskegrensen - Jæren"
